Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History,Elevation_m,Slope_deg,Rainfall_2023_mm,Rainfall_Dates_2023
5309,HP/SHI/53E15/2016/26,Shimla,Near Munish Link road,31.4144,77.7642,Debris            Slide,,,2288.947998046875,40.10317154553711,,
5310,HP/SHI/53E15/2016/130,Shimla,Near Munish Link road,31.4144,77.7674,Debris            Fall,,,2111.58349609375,38.18469362499077,,
5311,HP/SHI/53E15/2016/30,Shimla,Near Munish Link road,31.4146,77.7675,Debris            Slide,,,2130.408935546875,38.82358484033599,,
5312,HP/SHI/53E15/2016/117,Shimla,Near Munish - Jogni road,31.415,77.7682,Rock              Slide,,,2110.669921875,38.41293117830503,,
5313,HP/SHI/53E15/2016/27,Shimla,Near Munish Link road,31.4151,77.7649,Debris            Slide,,,2250.35009765625,48.82972997587062,,
5314,HP/SHI/53E15/2016/28,Shimla,Near Munish Link road,31.4151,77.7655,Debris            Slide,,,2218.32470703125,37.53624946564261,,
5315,HP/MAN/53E03/2015/348,Mandi,,31.415139,77.041278,Rock              Slide,,,2300.27294921875,28.798666680710795,,
5316,HP/MAN/53E03/2015/355,Mandi,,31.415139,77.041278,Debris            Slide,,,2300.27294921875,28.798666680710795,,
5317,HP/SHI/53E15/2016/29,Shimla,Near Munish Link road,31.4153,77.7657,Debris            Slide,,,2224.8759765625,38.56885321387025,,
5318,HP/MAN/53E03/2015/356,Mandi,,31.415639,77.042194,Rock              Slide,,,2305.52197265625,32.24912587818033,,
5319,HP/BIL/53A15/2015/82,Bilaspur,,31.415668,76.768577,Debris            Slide,,,598.2255249023438,12.398849259246573,,
5320,HP/SHI/53E15/2016/131,Shimla,Near Munish Link road,31.4159,77.7675,Debris            Fall,,,2194.71533203125,37.17401202322296,,
5321,HP/SHI/53E15/2016/133,Shimla,Near Munish Link road,31.4161,77.7684,Debris          Fall,,,2176.899658203125,34.64075767401177,,
5322,HP/MAN/53E03/2015/257,Mandi,,31.416194,77.113139,Rock,Slide,2015,2041.4501953125,35.64360654028015,,
5323,HP/SHI/53E07/2016/73,Shimla,"Malgi, NH-305",31.416278,77.39175,Rock            Fall,,,1005.51953125,33.95516408861546,,
5324,HP/MAN/53E03/2015/258,Mandi,,31.416417,77.111028,Rock            Slide,,,2026.1627197265625,18.568060737112976,,
5325,HP/MAN/53E03/2015/67,Mandi,,31.417046,77.135168,Debris          Slide,,,1774.34765625,17.68599427864468,,
5326,HP/SHI/53E15/2016/132,Shimla,Near Munish Link road,31.4172,77.7636,Debris          Fall,,,2435.734619140625,33.468981188932595,,
5327,HP/SHI/53E15/2016/54,Shimla,Pat - Punar track,31.4175,77.8124,Debris          Slide,,,2671.066650390625,27.398664571907073,,
5328,HP/MAN/53E03/2015/68,Mandi,,31.417516,77.135714,Debris          Slide,,,1777.422607421875,30.69664150337005,,
5329,HP/MAN/53E03/2015/357,Mandi,,31.418139,77.042806,Rock            Slide,,,2303.25390625,41.98497793099416,,
5330,HP/MAN/53A15/2015/184,Mandi,,31.418606,76.940827,Debris          Slide,,,994.657958984375,53.270698147699825,,
5331,HP/MAN/53E03/2015/270,Mandi,,31.41875,77.200611,Rock,Slide,2011,1692.046875,38.15977377549561,,
5332,HP/MAN/53E03/2015/256,Mandi,,31.418972,77.118361,Rock            Slide,,,2080.18212890625,33.01076322111085,,
5333,HP/MAN/53A15/2015/72,Mandi,,31.41961,76.866591,Debris          Slide,,,853.1978759765625,34.15087585016352,,
5334,HP/SHI/53E15/2016/129,Shimla,Near Munish Link road,31.4198,77.7679,Rock            Slide,,,2314.80859375,34.22343675285852,,
5335,HP/SHI/53E15/2016/134,Shimla,Near Munish Link road,31.4198,77.7672,Debris          Slide,,,2334.17333984375,35.91590849787171,,
5336,HP/MAN/53E03/2015/255,Mandi,,31.419889,77.123139,Rock            Slide,,,2043.7127685546875,29.42901803173972,,
5337,HP/SHI/53E15/2016/126,Shimla,Near Munish Link road,31.42,77.7691,Debris          Slide,,,2309.641845703125,40.76674837086877,,
5338,HP/MAN/53A15/2015/312,Mandi,,31.420444,76.923222,Debris,Slide,2015,812.260009765625,37.321309846092426,,
5339,HP/MAN/53A15/2015/313,Mandi,,31.420444,76.923222,Debris,Slide,2015,812.260009765625,37.321309846092426,,
5340,HP/SHI/53E15/2016/127,Shimla,Near Munish Link road,31.4205,77.7699,Debris          Slide,,,2312.557861328125,36.74882160511969,,
5341,HP/BIL/53A07/2018/9,Bilaspur,Sanhal,31.421352,76.437612,Debris          Slide,,,521.9598999023438,36.892020415994445,,
5342,HP/MAN/53E03/2015/253,Mandi,,31.421861,77.133111,Debris          Slide,,,1998.0079345703125,19.547505664329233,,
5343,HP/MAN/53A15/2015/131,Mandi,,31.422049,76.942461,Debris          Slide,,,966.5197143554688,57.60311302413242,,
5344,HP/BIL/53A11/2018/22,Bilaspur,Takamad,31.422168,76.7484,Rock            Slide,,,738.03759765625,16.91224463479589,,
5345,HP/MAN/53A15/2015/124,Mandi,,31.422288,76.86514,Debris          Slide,,,848.4910278320312,35.706445446354415,,
