State,District,Latitude,Longitude,slope_deg,rainfall_mm,soil_moisture_mm,label
Assam,Dima Hasao,25.11077778,93.00458333,3.75,9.728688525,0.443344604,1
Assam,Dima Hasao,25.424,93,4.42,8.796721311,0.46607138,1
Assam,Dima Hasao,25.11238889,93.00575,4.72,9.728688525,0.443344604,1
Assam,Dima Hasao,25.14872222,93.03191667,3.96,10.10081967,0.443344604,1
Assam,Dima Hasao,25.14525,93.02916667,0.82,10.10081967,0.443344604,1
Assam,Dima Hasao,25.15572222,93.02277778,1.39,10.10081967,0.476209699,1
Assam,Dima Hasao,25.23230556,93.03333333,7.52,10.10081967,0.476209699,1
Assam,Kamrup (Metro),26.21083333,91.68944444,5.54,14.77991803,0.483023429,1
Assam,Dima Hasao,25.14264,93.03182,2.47,9.862295082,0.47505362,1
Assam,Dima Hasao,25.156833,93.017694,0.1,11.83114754,0.480540642,1
Assam,Dima Hasao,25.1565,93.0151,3.8,7.119672131,0.457205601,1
Assam,Dima Hasao,25.15667,93.01275,6.76,7.119672131,0.457205601,1
Assam,Dima Hasao,25.16367,93.02478,2.93,7.119672131,0.457205601,1
Assam,Dima Hasao,25.16649,93.02289,2.26,7.119672131,0.457205601,1
Assam,Dima Hasao,25.16497,93.02275,3.39,7.119672131,0.457205601,1
Assam,Dima Hasao,25.1655,93.02556,2.93,7.119672131,0.457205601,1
Assam,Dima Hasao,25.16427,92.99788,1.65,7.119672131,0.457205601,1
Assam,Dima Hasao,25.17425,93.00244,1.03,7.119672131,0.457205601,1
Assam,Dima Hasao,25.162667,93.009806,11.87,7.119672131,0.457205601,1
Assam,Dima Hasao,25.16553,93.02172,4.42,7.119672131,0.457205601,1
Assam,Dima Hasao,25.17986111,93.07077778,10.09,10.10081967,0.477033128,1
Assam,Dima Hasao,25.14677778,93.03097222,0.05,10.10081967,0.443344604,1
Assam,Dima Hasao,25.15561111,93.02222222,1.54,10.10081967,0.476209699,1
Assam,Dima Hasao,25.15658333,93.01961111,2.93,10.10081967,0.476209699,1
Assam,Dima Hasao,25.15713889,93.01719444,0.21,10.10081967,0.476209699,1
Assam,Dima Hasao,25.156483,93.018367,3.03,10.10081967,0.476209699,1
Assam,Dima Hasao,25.158138,93.024778,2.67,7.119672131,0.457205601,1
Assam,Dima Hasao,25.24194444,93.14319444,4.88,8.201639344,0.477033128,1
Assam,Dima Hasao,25.41733333,93.12908333,5.8,8.721311475,0.472060109,1
Assam,Dima Hasao,25.17044,93.025325,0.21,7.119672131,0.457205601,1
Assam,Dima Hasao,25.171264,93.020014,6.15,7.119672131,0.457205601,1
Assam,Dima Hasao,25.16804,93.02503,1.18,7.119672131,0.457205601,1
Assam,Dima Hasao,25.178006,93.022825,4.01,9.541803279,0.479941598,1
Assam,Dima Hasao,25.168083,93.024922,0.15,7.119672131,0.457205601,1
Assam,West Karbi Anglong,25.809417,92.474833,2.62,14.37459016,0.478710041,1
Assam,Dima Hasao,25.27480556,93.14555556,9.29,8.201639344,0.47682138,1
Assam,Dima Hasao,25.18955556,93.09641667,0.72,10.10081967,0.477033128,1
Assam,Dima Hasao,25.1638056,93.010861,7.47,7.119672131,0.457205601,1
Assam,Dima Hasao,25.175,93.01967,5.54,7.690983607,0.476118169,1
Assam,Kamrup (Metro),26.19552778,91.78055556,6.86,18.51393443,0.474284495,1
Assam,Dima Hasao,25.17483,93.019861,5.85,7.119672131,0.457205601,1
Assam,Dima Hasao,25.1568056,93.019722,0.26,7.119672131,0.457205601,1
Assam,Dima Hasao,25.162389,93.010222,8.53,7.119672131,0.457205601,1
Assam,Dima Hasao,25.1625278,93.0103333,9.49,7.119672131,0.457205601,1
Assam,Dima Hasao,25.162472,93.01044,8.53,7.119672131,0.457205601,1
Assam,Dima Hasao,25.17175,93.00726,0.82,7.119672131,0.457205601,1
Assam,Dima Hasao,25.16649,93.01092,0.93,7.119672131,0.457205601,1
Assam,Dima Hasao,25.170194,93.007389,0.31,7.119672131,0.457205601,1
Assam,Dima Hasao,25.17144,93.005694,1.96,7.119672131,0.457205601,1
Assam,Dima Hasao,25.16579,93.00948,7.47,7.119672131,0.457205601,1
Assam,Dima Hasao,25.15859,93.01292,5.59,7.119672131,0.457205601,1
Assam,Kamrup (Rural),25.84,91.35,1.18,9.990983607,0.49370526,1
Assam,Kamrup (Metro),26.13441667,91.74875,0.77,18.6204918,0.474091189,1
Assam,Kamrup (Metro),26.10711111,91.78916667,0.57,21.50901639,0.473806694,1
Assam,Kamrup,26.09961111,91.87811111,6.46,22.83360656,0.477259563,1
Assam,Kamrup,26.14944444,91.748,4.88,18.6204918,0.474091189,1
Assam,Dima Hasao,25.15556,93.021583,3.14,7.119672131,0.457205601,1
Assam,Kamrup (Metro),26.11464,91.83886,2.52,15.05983607,0.474773907,1
Assam,Cachar,24.96756,92.74392,1.8,16.19754098,0.47467623,1
Assam,Cachar,24.95794,92.73201,2.88,18.99098361,0.484160519,1
Assam,Cachar,24.95054,92.731458,0.26,18.99098361,0.484160519,1
Assam,Cachar,24.94756,92.73097,1.34,18.99098361,0.484160519,1
